id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
44265027,"Attic with a large terrace, Galata tower view",43418356,Özra,,Beyoglu,41.02859,28.97303,Entire home/apt,481,1,9,2020-10-27,1.14,4,149
44266219,Grand appartement dans le centre ville,305720356,Angelina,,Umraniye,41.01446,29.13649,Entire home/apt,480,1,0,,,1,365
44266993,Merkezi Konum.,293737294,Mert,,Uskudar,41.02146,29.01466,Entire home/apt,175,1,0,,,1,180
44267176,BLUE MOSQUE AREA,356342403,Istanbul,,Fatih,41.00642,28.96559,Private room,287,1,0,,,3,365
44267601,"Muhteşem dubleks ,manzaralı",356815344,Arzu,,Kagithane,41.07817,28.98867,Private room,80,1,2,2020-09-07,0.25,4,365
44269041,Have a piece of haven in my Artists loft,63923129,Buli,,Fatih,41.03414,28.94244,Entire home/apt,367,3,0,,,1,89
44270504,"terrace, music studio, serenity :)",356852905,Can,,Kadikoy,40.98597,29.02691,Private room,70,30,0,,,1,90
44271801,Uzneak homes,356321182,Neak,,Beylikduzu,41.0043,28.67711,Entire home/apt,290,1,0,,,1,179
44272106,Clean House 15 minutes to international Airport,175085456,Abdullah,,Tuzla,40.86318,29.29925,Private room,250,1,1,2021-01-11,0.37,1,365
44272426,In Taksim Area a Design flat balcony safe silent,104996955,Charlotte And Leanardo,,Beyoglu,41.03934,28.98368,Entire home/apt,576,4,2,2020-10-05,0.28,1,329
44276959,"Large 2+1 close to hospital,public transportation.",236306503,Uğur,,Bagcilar,41.05516,28.82194,Entire home/apt,300,3,6,2021-03-16,0.75,2,365
44277165,shared room in center of istanboul,349274453,Ahmed,,Sisli,41.04453,28.97917,Shared room,80,4,1,2020-08-27,0.14,3,0
44277608,Taila Apartments No 316 Near Taksim,348680386,Hoda,,Beyoglu,41.03266,28.98169,Entire home/apt,130,3,8,2021-03-03,1.23,18,50
44277616,Taila Apartments No 321 Near Taksim,348680386,Hoda,,Beyoglu,41.03308,28.98166,Entire home/apt,164,3,9,2021-02-21,1.15,18,78
44277892,Penthouse Studio near to Taksim,32475098,Suphi,,Beyoglu,41.03746,28.98089,Entire home/apt,181,1,26,2021-03-14,3.21,16,1
44279159,Private Standard Room very close to Taksim square,32475098,Suphi,,Beyoglu,41.03781,28.9827,Entire home/apt,198,1,0,,,16,363
44279911,Sweet Home in Taksim Square.  Wifi & 3 AC,239064069,Cahit Burkay,,Beyoglu,41.03488,28.98755,Entire home/apt,582,3,10,2021-02-19,1.33,4,350
44280116,Single Room in İstanbul,272175825,Onur,,Uskudar,41.01405,29.06213,Private room,305,10,0,,,1,91
44280123,Muço Yatçılık,356959386,Muço,,Besiktas,41.08019,29.04705,Entire home/apt,550,1,0,,,1,364
44281749,MARANDA SUİT,356982397,Maranda Sui̇t,,Fatih,41.00968,28.9513,Entire home/apt,485,1,0,,,1,365
44282454,Standart daire,219689432,Lola,,Fatih,41.00264,28.97508,Entire home/apt,143,2,0,,,4,363
44284243,New Clean Apartment near Taksim Square,9865188,Can,,Beyoglu,41.03083,28.9881,Entire home/apt,430,5,1,2020-07-20,0.12,2,175
44285054,Cozy room in Uskudar (Balcony with a view),94097069,Anas,,Uskudar,41.02657,29.0208,Private room,80,1,5,2021-01-19,0.73,3,62
44286574,Bebek’te bakımlı oda,84284201,Tuğba,,Besiktas,41.0791,29.03866,Private room,146,7,2,2020-09-12,0.27,1,365
44286891,Cevahir alisveris merkezi arka sokaginda ozel oda,138852115,Asli,,Sisli,41.06016,28.99279,Private room,150,1,0,,,1,364
44286955,Ada sahil merkezde konak,38232804,Taylan,,Adalar,40.87607,29.09699,Entire home/apt,650,2,2,2020-08-10,0.25,1,0
44287517,Şile merkez full deniz manzaralı denize mesafe5dk,340897948,Yeşim,,Sile,41.16504,29.59149,Entire home/apt,750,2,0,,,1,87
44287559,Riverside Villa Private Sw. Pool 15m to FSM,10407081,Nazli,,Beykoz,41.14098,29.1882,Entire home/apt,1321,3,1,2020-08-16,0.13,1,363
44287594,Cozy Central Flat,141137925,Elincan,,Beyoglu,41.04063,28.98058,Entire home/apt,212,7,2,2020-12-19,0.40,4,364
44287861,Galata Tower N:44/1,357058834,Galata,,Beyoglu,41.02568,28.97397,Entire home/apt,392,2,1,2020-08-10,0.13,2,180
44288113,Gatala Tower N:44 /2,357058834,Galata,,Beyoglu,41.02553,28.97539,Entire home/apt,392,2,1,2020-09-27,0.16,2,180
44288376,Beşiktaş ve nişantası 10dk mesafede günlük  daire,357062744,Ferdi,,Sisli,41.05781,28.99387,Entire home/apt,241,1,0,,,1,364
44288591,Rooms near Galata tower and Sea view,328330551,Fuat,,Beyoglu,41.0264,28.97241,Private room,394,1,0,,,13,274
44288700,Misafirler,357066159,Buğra,,Kartal,40.9023,29.16508,Private room,89,1,0,,,1,269
44288846,rooms near to galata tower,328330551,Fuat,,Beyoglu,41.02637,28.97356,Private room,197,1,0,,,13,0
44289397,Ortaköy sahile yürüyüş mesafesnde kullanıma hazır,235951898,Nuray,,Besiktas,41.04905,29.02569,Entire home/apt,225,1,0,,,2,365
44290186,"Only for women, apartment in the city center.",217906654,Belkis,,Fatih,41.01303,28.95079,Private room,80,1,0,,,1,364
44290998,"Heart of Istanbul, Best Location Air-conditioned 1",300690317,Hakan,,Kadikoy,40.98842,29.03075,Private room,232,1,14,2021-01-22,2.20,5,39
44291246,"Heart of Istanbul, Best Location Air-conditioned 3",300690317,Hakan,,Kadikoy,40.99014,29.03063,Private room,229,1,17,2021-02-12,2.29,5,39
44293993,İstanbul Kadıköy rıtımda suit günlük kirakık ev,311209006,Emin,,Kadikoy,40.99398,29.02734,Entire home/apt,140,1,21,2020-11-21,2.57,1,242
44295830,Charming Flat At Taksim Region,357120498,,,Beyoglu,41.03367,28.98594,Entire home/apt,1921,4,0,,,2,179
44295887,Zain’s house /2 In the heart of Istanbul,97730258,Zain,,Beyoglu,41.02649,28.98011,Entire home/apt,229,2,6,2021-02-11,1.19,2,339
44297167,"4 + 1 ev 4 kişilik, 4+1 home for 4 people",200740211,Orhan,,Umraniye,41.03605,29.09116,Entire home/apt,830,15,0,,,1,362
44297422,Jasmin Flats in Beyoğlu Taksim,357181033,Çetin,,Beyoglu,41.03823,28.97745,Entire home/apt,998,2,3,2020-10-21,0.39,1,183
44297564,Private room 10 minutes walk to taksim square,249750451,Besher,,Sisli,41.04254,28.98328,Private room,84,2,12,2021-03-29,1.67,2,153
44298801,Luxury apartment with Florya and sea view.,149385136,Selman,,Kucukcekmece,40.98581,28.77947,Entire home/apt,292,5,5,2021-03-09,0.66,9,309
